Team,f_3yr_avg,off_f_3yr_avg,def_f_3yr_avg,st_f_3yr_avg,s_p_3yr_avg,fei_3yr_avg,f_yr3,off_f_yr3,def_f_yr3,st_f_yr3,s_p_yr3,fei_yr3,yr4_f
Air Force,-0.05033333333333332,0.014666666666666666,-0.05266666666666667,-0.012666666666666666,198.30000000000004,-0.04533333333333334,-0.174,-0.05,-0.096,-0.027999999999999997,182.9,-0.128,-0.265
Akron,-0.2866666666666666,-0.1446666666666667,-0.11666666666666665,-0.025333333333333336,157.63333333333335,-0.2173333333333333,-0.203,-0.064,-0.107,-0.032,171.1,-0.13699999999999998,-0.218
Alabama,0.47333333333333333,0.19066666666666665,0.26833333333333337,0.013999999999999999,306.06666666666666,0.3036666666666667,0.506,0.21100000000000002,0.278,0.017,312.3,0.324,0.423
Arizona,0.03000000000000001,0.08433333333333333,-0.034,-0.02033333333333333,215.5,0.027,0.098,0.131,-0.019,-0.013000000000000001,220.9,0.07,0.18100000000000002
Arizona State,0.06899999999999999,0.03233333333333333,0.03366666666666667,0.0033333333333333327,216.5,0.07866666666666666,0.09,0.027000000000000003,0.065,-0.001,221.3,0.09,0.285
Arkansas,0.16266666666666665,0.12133333333333333,0.037333333333333336,0.004,233.36666666666667,0.12966666666666668,0.004,0.049,-0.027000000000000003,-0.017,215.0,-0.032,-0.10099999999999999
Arkansas State,0.0043333333333333305,0.018333333333333333,-0.0003333333333333348,-0.013999999999999999,210.26666666666665,-0.0019999999999999996,0.051,0.083,0.006999999999999999,-0.04,224.7,0.046,-0.121
Army,-0.14233333333333334,-0.027999999999999997,-0.10266666666666667,-0.011999999999999997,184.76666666666665,-0.11566666666666668,-0.188,-0.005,-0.17600000000000002,-0.008,177.0,-0.161,-0.17600000000000002
Auburn,0.05533333333333332,0.05566666666666666,-0.019999999999999993,0.019333333333333338,215.19999999999996,0.04833333333333332,-0.18600000000000003,-0.115,-0.09,0.019,184.7,-0.192,0.35100000000000003
BYU,0.08366666666666667,-0.006333333333333333,0.081,0.009333333333333334,225.79999999999998,0.050666666666666665,0.175,0.026000000000000002,0.152,-0.002,244.5,0.125,0.149
Ball State,-0.129,-0.03933333333333333,-0.10666666666666667,0.016333333333333335,184.5,-0.11833333333333333,-0.005,0.032,-0.07400000000000001,0.036000000000000004,204.7,-0.033,0.023
Baylor,0.07433333333333333,0.16566666666666668,-0.06833333333333334,-0.023333333333333334,219.80000000000004,0.07833333333333332,0.125,0.196,-0.051,-0.02,221.8,0.172,0.304
Boise State,0.30233333333333334,0.10233333333333333,0.18300000000000002,0.016333333333333335,273.2,0.18233333333333332,0.184,0.051,0.128,0.004,242.0,0.121,0.07
Boston College,-0.050333333333333334,-0.08,0.02366666666666667,0.006666666666666668,192.26666666666665,-0.021666666666666667,-0.111,-0.068,-0.055,0.013000000000000001,183.7,-0.099,-0.022000000000000002
Bowling Green,-0.11766666666666666,-0.079,-0.036000000000000004,-0.0026666666666666666,186.96666666666667,-0.09733333333333334,-0.042,-0.071,0.046,-0.016,202.3,-0.040999999999999995,0.064
Buffalo,-0.19199999999999998,-0.118,-0.04733333333333333,-0.027,177.70000000000002,-0.15033333333333335,-0.153,-0.102,-0.012,-0.039,186.1,-0.114,-0.078
California,-0.029333333333333336,-0.04566666666666667,0.018666666666666668,-0.0016666666666666668,208.96666666666667,-0.038666666666666676,-0.07,-0.049,-0.017,-0.003,201.0,-0.066,-0.20199999999999999
Central Florida,0.077,0.019333333333333334,0.04133333333333333,0.016,218.86666666666665,0.05933333333333334,0.106,0.042,0.042,0.022000000000000002,219.4,0.09300000000000001,0.23800000000000002
Central Michigan,-0.15,-0.041666666666666664,-0.09333333333333332,-0.014333333333333332,181.0,-0.11366666666666668,-0.157,-0.028999999999999998,-0.121,-0.006999999999999999,181.1,-0.14300000000000002,-0.251
Cincinnati,0.10166666666666668,0.06433333333333334,0.03233333333333333,0.005000000000000001,212.80000000000004,0.09566666666666668,0.14400000000000002,0.062,0.08199999999999999,0.0,213.4,0.146,-0.015
Clemson,0.14133333333333334,0.082,0.04533333333333333,0.014333333333333335,222.23333333333335,0.11866666666666666,0.184,0.14400000000000002,0.022000000000000002,0.018000000000000002,235.9,0.135,0.266
Colorado,-0.21133333333333335,-0.06799999999999999,-0.11033333333333332,-0.03233333333333333,177.36666666666667,-0.17233333333333334,-0.36,-0.146,-0.16699999999999998,-0.046,153.6,-0.261,-0.14800000000000002
Colorado State,-0.24966666666666668,-0.132,-0.111,-0.006666666666666667,172.29999999999998,-0.2356666666666667,-0.247,-0.149,-0.10800000000000001,0.01,175.3,-0.258,-0.026000000000000002
Connecticut,0.0,-0.075,0.059,0.015666666666666666,199.0666666666667,0.023000000000000003,0.0,-0.10099999999999999,0.092,0.009000000000000001,199.8,-0.017,-0.132
Duke,-0.08066666666666666,0.001666666666666666,-0.09900000000000002,0.017,189.26666666666668,-0.06666666666666667,-0.083,0.03,-0.132,0.019,190.3,-0.1,0.085
East Carolina,-0.078,-0.0010000000000000009,-0.079,0.0020000000000000005,197.93333333333337,-0.106,-0.11800000000000001,-0.034,-0.084,-0.001,194.9,-0.16,0.08800000000000001
Eastern Michigan,-0.21999999999999997,-0.081,-0.11633333333333333,-0.02266666666666667,173.46666666666667,-0.17766666666666667,-0.20600000000000002,-0.08199999999999999,-0.102,-0.022000000000000002,171.3,-0.15,-0.42100000000000004
Florida,0.17833333333333334,0.02366666666666667,0.12300000000000001,0.03133333333333333,232.9,0.135,0.342,0.065,0.23600000000000002,0.040999999999999995,258.5,0.259,0.061
Florida Atlantic,-0.2273333333333333,-0.13733333333333334,-0.074,-0.016333333333333335,167.26666666666665,-0.18433333333333335,-0.218,-0.11,-0.106,-0.002,173.7,-0.17,-0.054000000000000006
Florida International,-0.04699999999999999,-0.04766666666666667,-1.1564823173178713e-18,0.0006666666666666664,196.5666666666667,-0.04,-0.11699999999999999,-0.07,-0.024,-0.022000000000000002,189.9,-0.09699999999999999,-0.425
Florida State,0.2423333333333333,0.07433333333333333,0.141,0.02666666666666667,247.5,0.18566666666666665,0.295,0.084,0.195,0.016,263.4,0.195,0.49200000000000005
Fresno State,-0.02566666666666667,0.0010000000000000009,-0.01966666666666667,-0.007333333333333334,211.73333333333335,-0.04533333333333334,0.11599999999999999,0.008,0.11199999999999999,-0.005,242.0,0.043,0.06
Georgia,0.21166666666666667,0.09700000000000002,0.10600000000000002,0.008666666666666668,244.36666666666665,0.15833333333333333,0.29100000000000004,0.161,0.126,0.004,254.6,0.22699999999999998,0.223
Georgia Tech,0.037,0.07533333333333332,-0.019,-0.019,213.96666666666667,0.041666666666666664,0.061,0.086,0.001,-0.026000000000000002,225.2,0.047,0.121
Hawaii,-0.105,-0.052333333333333336,-0.057333333333333326,0.004666666666666667,196.13333333333333,-0.11066666666666668,-0.254,-0.192,-0.079,0.017,163.5,-0.239,-0.087
Houston,0.03000000000000001,0.063,-0.02266666666666667,-0.009666666666666665,213.36666666666667,-0.00033333333333334286,-0.08199999999999999,-0.051,-0.013000000000000001,-0.017,199.1,-0.09300000000000001,0.068
Idaho,-0.216,-0.13166666666666665,-0.07866666666666666,-0.005333333333333333,172.83333333333334,-0.18533333333333332,-0.254,-0.165,-0.087,-0.002,165.4,-0.22699999999999998,-0.309
Illinois,-0.023000000000000003,-0.082,0.07666666666666667,-0.017666666666666667,205.13333333333333,-0.02266666666666667,-0.193,-0.142,-0.025,-0.026000000000000002,174.3,-0.162,-0.04
Indiana,-0.12766666666666668,0.005333333333333333,-0.12066666666666669,-0.012000000000000002,181.83333333333334,-0.10266666666666667,-0.065,0.049,-0.122,0.009000000000000001,189.0,-0.036000000000000004,0.023
Iowa,0.056666666666666664,0.015333333333333332,0.03333333333333333,0.008333333333333333,209.1,0.07766666666666668,-0.06,-0.065,-0.009000000000000001,0.015,188.8,-0.013000000000000001,0.151
Iowa State,-0.039,-0.04766666666666667,0.003333333333333332,0.005666666666666667,194.19999999999996,0.00033333333333333365,0.022000000000000002,-0.02,0.03,0.012,202.4,0.08199999999999999,-0.07400000000000001
